EntryTimestamp,ExitTimestamp,EntryPrice,ExitPrice,PNL,EntryIndex,ExitIndex,Strategy,Win
1752183000000,1752191100000,0.08670,0.08640,-0.00030,31,40,EmaRsiTrendStrategy,false
1752183000000,1752191100000,0.08670,0.08640,-0.00030,30,39,EmaRsiTrendStrategy,false
1752174000000,1752176700000,0.08580,0.08560,-0.00020,15,18,VolatilityBreakoutStrategy,false
1752177600000,1752178500000,0.08630,0.08590,-0.00040,19,20,VolatilityBreakoutStrategy,false
1752182100000,1752192900000,0.08650,0.08620,-0.00030,24,36,VolatilityBreakoutStrategy,false
1752194700000,1752221700000,0.08680,0.09180,0.00500,38,68,VolatilityBreakoutStrategy,true
1752225300000,1752231600000,0.09290,0.09230,-0.00060,72,79,VolatilityBreakoutStrategy,false
1752237000000,1752246000000,0.09250,0.09030,-0.00220,85,95,VolatilityBreakoutStrategy,false
1752247800000,1752248700000,0.09120,0.09030,-0.00090,97,98,VolatilityBreakoutStrategy,false
1752192000000,1752192900000,0.08670,0.08620,-0.00050,16,17,VolatilityBreakoutStrategy,false
1752194700000,1752221700000,0.08680,0.09180,0.00500,19,49,VolatilityBreakoutStrategy,true
1752225300000,1752231600000,0.09290,0.09230,-0.00060,53,60,VolatilityBreakoutStrategy,false
1752237000000,1752246000000,0.09250,0.09030,-0.00220,66,76,VolatilityBreakoutStrategy,false
1752247800000,1752248700000,0.09120,0.09030,-0.00090,78,79,VolatilityBreakoutStrategy,false
1752255900000,1752265800000,0.09080,0.09020,-0.00060,87,98,VolatilityBreakoutStrategy,false
